ip.addr,ip.dst,tcp.dstport,ip.len,frame.time_delta_displayed
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001010000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001009000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001007000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001007000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001004000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001003000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001003000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001001000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000992000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000988000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000981000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000977000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000966000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000962000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000942000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000937000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000937000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000928000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000908000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000896000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000896000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000895000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000888000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000880000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000874000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000859000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000846000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000841000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000839000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000838000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000837000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000833000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000832000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000832000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000826000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000822000
